pdb_id,regime,status,detail,fasta_path,colabfold_batch_rc,gpu_validation,nvidia_gpu_names
13YQ,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YQ.fasta,0,ok,NVIDIA GeForce RTX 4080
13YR,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YR.fasta,0,ok,NVIDIA GeForce RTX 4080
13YS,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YS.fasta,0,ok,NVIDIA GeForce RTX 4080
13YT,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YT.fasta,0,ok,NVIDIA GeForce RTX 4080
13YU,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YU.fasta,0,ok,NVIDIA GeForce RTX 4080
13YV,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YV.fasta,0,ok,NVIDIA GeForce RTX 4080
13YW,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YW.fasta,0,ok,NVIDIA GeForce RTX 4080
13YX,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YX.fasta,0,ok,NVIDIA GeForce RTX 4080
13YY,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YY.fasta,0,ok,NVIDIA GeForce RTX 4080
13YZ,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13YZ.fasta,0,ok,NVIDIA GeForce RTX 4080
13ZN,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13ZN.fasta,0,ok,NVIDIA GeForce RTX 4080
13ZZ,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_13ZZ.fasta,0,ok,NVIDIA GeForce RTX 4080
14AA,colabfold_inference_m1,ok,/home/aurora/cf_smoke_corpus50/predictions,/home/aurora/cf_smoke_corpus50/smoke_single_14AA.fasta,0,ok,NVIDIA GeForce RTX 4080
